size; duration; mean; reps
1000;2.9457999E-5;2.9457999E-5;1
2000;1.9625E-5;1.9625E-5;1
3000;3.0709E-5;3.0709E-5;1
4000;4.0167E-5;4.0167E-5;1
5000;4.5040997E-5;4.5040997E-5;1
6000;5.2917E-5;5.2917E-5;1
7000;6.1917E-5;6.1917E-5;1
8000;6.9791E-5;6.9791E-5;1
9000;7.8000005E-5;7.8000005E-5;1
10000;8.6833E-5;8.6833E-5;1
11000;9.475E-5;9.475E-5;1
12000;1.04415994E-4;1.04415994E-4;1
13000;1.12167E-4;1.12167E-4;1
14000;1.20166005E-4;1.20166005E-4;1
15000;1.3204201E-4;1.3204201E-4;1
16000;1.37125E-4;1.37125E-4;1
17000;1.46417E-4;1.46417E-4;1
18000;1.54417E-4;1.54417E-4;1
19000;1.77791E-4;1.77791E-4;1
20000;1.71416E-4;1.71416E-4;1
21000;1.80292E-4;1.80292E-4;1
22000;1.88208E-4;1.88208E-4;1
23000;1.96875E-4;1.96875E-4;1
24000;2.04542E-4;2.04542E-4;1
25000;2.15458E-4;2.15458E-4;1
26000;2.21875E-4;2.21875E-4;1
27000;2.30167E-4;2.30167E-4;1
28000;2.39666E-4;2.39666E-4;1
29000;2.48458E-4;2.48458E-4;1
30000;2.56334E-4;2.56334E-4;1
31000;2.63625E-4;2.63625E-4;1
32000;2.7204098E-4;2.7204098E-4;1
33000;2.9012503E-4;2.9012503E-4;1
34000;2.89583E-4;2.89583E-4;1
35000;2.97875E-4;2.97875E-4;1
36000;3.05417E-4;3.05417E-4;1
37000;3.13792E-4;3.13792E-4;1
38000;3.22625E-4;3.22625E-4;1
39000;3.31125E-4;3.31125E-4;1
40000;3.39959E-4;3.39959E-4;1
41000;3.59875E-4;3.59875E-4;1
42000;3.66417E-4;3.66417E-4;1
43000;3.7187498E-4;3.7187498E-4;1
44000;3.74333E-4;3.74333E-4;1
45000;3.86709E-4;3.86709E-4;1
46000;3.90167E-4;3.90167E-4;1
47000;4.01041E-4;4.01041E-4;1
48000;4.1116602E-4;4.1116602E-4;1
49000;4.1875E-4;4.1875E-4;1
50000;4.2679103E-4;4.2679103E-4;1
51000;4.32958E-4;4.32958E-4;1
52000;4.5050003E-4;4.5050003E-4;1
53000;4.4925002E-4;4.4925002E-4;1
54000;4.6154202E-4;4.6154202E-4;1
55000;4.66167E-4;4.66167E-4;1
56000;4.7616698E-4;4.7616698E-4;1
57000;4.865E-4;4.865E-4;1
58000;4.915E-4;4.915E-4;1
59000;5.1345903E-4;5.1345903E-4;1
60000;5.1204197E-4;5.1204197E-4;1
61000;5.1941595E-4;5.1941595E-4;1
62000;5.34959E-4;5.34959E-4;1
63000;5.37E-4;5.37E-4;1
64000;5.47875E-4;5.47875E-4;1
65000;5.6258304E-4;5.6258304E-4;1
66000;5.6124997E-4;5.6124997E-4;1
67000;5.8345904E-4;5.8345904E-4;1
68000;5.79583E-4;5.79583E-4;1
69000;6.01583E-4;6.01583E-4;1
70000;5.95875E-4;5.95875E-4;1
71000;6.7412504E-4;6.7412504E-4;1
72000;6.5025E-4;6.5025E-4;1
73000;6.3245796E-4;6.3245796E-4;1
74000;6.2770804E-4;6.2770804E-4;1
75000;6.4499996E-4;6.4499996E-4;1
76000;6.44708E-4;6.44708E-4;1
77000;6.5662496E-4;6.5662496E-4;1
78000;6.68541E-4;6.68541E-4;1
79000;6.71042E-4;6.71042E-4;1
80000;6.79417E-4;6.79417E-4;1
81000;7.0E-4;7.0E-4;1
82000;6.965E-4;6.965E-4;1
83000;7.05333E-4;7.05333E-4;1
84000;7.19958E-4;7.19958E-4;1
85000;7.23916E-4;7.23916E-4;1
86000;7.67208E-4;7.67208E-4;1
87000;7.38167E-4;7.38167E-4;1
88000;7.46542E-4;7.46542E-4;1
89000;7.6537504E-4;7.6537504E-4;1
90000;7.63625E-4;7.63625E-4;1
91000;7.75625E-4;7.75625E-4;1
92000;7.83792E-4;7.83792E-4;1
93000;7.89667E-4;7.89667E-4;1
94000;7.9695805E-4;7.9695805E-4;1
95000;8.05958E-4;8.05958E-4;1
96000;8.1762497E-4;8.1762497E-4;1
97000;8.2325E-4;8.2325E-4;1
98000;9.99375E-4;9.99375E-4;1
99000;8.39583E-4;8.39583E-4;1
